a	det. 一
a.d.	(缩)公元
a.m.	(缩)上午
aback	adv. 突然地，向后
abandon	n. 放任，狂放\nv. 抛弃，放弃，离弃
abandonment	n. 放弃
abase	v. 垂下，使谦卑
abasement	n. 滥用
abash	v. 使不安，使惭愧
abate	v. 撤销，减
abattoir	n. 角斗场，屠场
abbreviate	v. 使简短，缩写
abbreviation	n. 缩写
abdicate	v. 正式放弃，退出
abdomen	n. 腹，腹部
abduct	v. 使外展，诱拐，劫持，绑架
abed	adj. 卧病在床，在床上\nadv. 卧病在床，在床上
abend	n. 异常终止
abet	v. 支持
abeyance	n. 缓办，中止，归属待定，暂搁
abhor	v. 回避，憎恶
abhorrence	n. 厌恶
abhorrent	adj. 相抵触的，憎恶的
abide	v. 遵守，忍耐，居住
ability	n. 能力，能耐
abject	adj. 可鄙的，奴性的，悲惨的
abjure	v. 避免，发誓弃绝
ablaze	adj. 热烈，闪耀\nadv. 热烈，闪耀
able	adj. 有能力的，能干的，得以...的
ably	adv. 能干地，巧妙地
abnegate	v. 放弃，克制
abnormal	adj. 反常的，变态的
aboard	adv. 船(车)上\nprep. 在...上
abolish	v. 废除，取消，彻底废除，完全破坏
abolition	n. 废除，取消
abominable	adj. 极坏的，可恶的
abominate	v. 不喜欢，厌恶
abort	n. 中途失败\nv. 败育，流产，堕胎
abortion	n. 流产，堕胎
abortive	adj. 无效果的，失败的，败育的，流产的
abound	v. 充足，富足
about	adj. 活动中的\nprep. 关于，大约，在...附近，在...前后
above	adj. 上面出现过的\nadv. 在顶部，在上面\nprep. 在...之上，高于，多于
above-mentioned	adj. 上述的
abrade	v. 磨损，经受磨损
abrasion	n. 磨蚀，磨损
abrasive	n. 磨料，磨蚀岩屑\nadj. 磨损的
abreast	adv. 并肩，并列，朝同方向并列
abridge	v. 省略，摘要，减少，缩短，删节
abroad	adv. 国外，海外，到国外，出国
abrogate	v. 取消，废除，去掉，正式废除
abrogation	n. 取消，废除
abrupt	adj. 突然的，生硬的，陡峭的，唐突的
abruptly	adv. 突然地
abscissa	n. 横座标
abscond	v. 潜逃
abseil	n. 绕绳下降\nv. 绕绳下降
absence	n. 缺席，缺乏
absent	v. 使缺席\nadj. 缺席的，不存在，不在场的，缺乏的
absent-minded	adj. 心不在焉的
absentee	n. 不在的\nadj. 缺席者的
absolute	n. 绝对，绝对事物\nadj. 完全的，绝对的，纯粹的，道地的
absolutely	adv. 绝对，完全
absolution	n. 解除，免附，赦罪
absolutism	n. 绝对性，绝对主义
absolve	v. 赦免
absorb	v. 吸收，专心于，把...并入
absorbent	n. 吸收剂，吸收体\nadj. 能吸收的
absorption	n. 吸收，专注，合并
abstain	v. 戒绝，弃权
abstemious	adj. 简单，有节制的
abstention	n. 戒绝，弃权
abstract	n. 抽象概念，摘要\nv. 提取，作摘要\nadj. 抽象的，难懂的
abstraction	n. 抽象，提取
abstruse	adj. 秘密的，深奥的
absurd	n. 荒诞\nadj. 荒唐的，荒诞派的，荒谬的
absurdity	n. 荒唐(事)
abundance	n. 丰富，大量，富有
abundant	adj. 丰富的，充裕的，大量的
abuse	n. 弊病，滥用\nv. 滥用，谩骂，虐待
abusive	adj. 谩骂的，虐待的
abut	v. 使紧靠，邻接
abysmal	adj. 极坏的
academic	n. 大学生，学者\nadj. 学院的，学术的，学理的
academy	n. 学院，研究院，私立中学
accede	v. 同意，答应，加入
accelerate	v. 加速，加快，促进
acceleration	v. 加速，促进
accent	n. 腔调，口音，重音\nv. 重读，着重
accentuate	v. 强调
accept	v. 接受，同意，承认
acceptable	adj. 可接受的，合意的
acceptance	n. 接受，承兑，承认
access	n. 接近，入口，通道\nv. 存取，接近
accessary	n. 同谋\nadj. 同谋
accessible	adj. 可接近的，见到的
accession	n. 就职，添加\nv. 把...登记入册
accessory	n. 附件，装饰品，同谋\nadj. 附加的，同谋的
accidence	n. 初步，词形变化
accident	n. 事故，意外之事，机遇，意外事情
accidental	n. 临时记号，突出光线\nadj. 意外的，偶然的，非主要的
accidentally	adv. 偶尔，附带
acclaim	n. 欢呼\nv. 宣布，欢呼
accommodate	v. 提供便利，拆借
accommodation	n. 便利，通融
accompaniment	n. 伴侣，伴奏
accompany	v. 伴随，伴奏，补充
accomplice	n. 共犯，同伙
accomplish	v. 完成，达到，实现
accomplishment	n. 成就
accord	n. 谅解，谐和\nv. 符合，协调，授予，相符合
accordance	n. 按照，与...一致，授予，一致
according	adj. 按照，据...说
accordingly	adj. 相应地，从而
accordion	n. 手风琴
accost	n. 搭讪\nv. 勾搭
account	n. 账目，记述，解释\nv. 说明，报帐，导致
accountant	n. 会计(师)，会计人员
accounting	n. 会计学
accredit	v. 确认，委派
accretion	n. 连生，增加物
accrue	v. 产生，发生，获得
accrued	adj. 增值的，应计的
accumulate	v. 积累，积蓄，堆积，积成堆
accumulation	n. 积累
accumulative	adj. 积累的
accuracy	n. 准确(性)，准确
accurate	adj. 准确的，精密的
accurately	adj. 准确地
accursed	adj. 可恶的，受诅咒的
accusation	n. 控告，指控
accusative	n. 宾格\nadj. 宾格的
accuse	v. 告发，指责，指控
accustom	v. 使...习惯于，使习惯于
ace	n. A 纸牌，发球得分\nv. 打败\nadj. 第一流的
ache	n. 疼痛\nv. 觉得疼，哀怜，痛
achieve	v. 完成，实现，达到
achievement	n. 完成，成就
aching	adj. 疼痛的
acid	n. 酸，尖刻\nadj. 酸的
acidify	v. 酸化
acidity	n. 尖刻，酸性
acknowledge	v. 承认，鸣谢
acknowledgment	n. 承认，鸣谢，回执
acme	n. 最高点
acoustic	adj. 声学的，听觉的
acoustics	n. 声学，音质
acquaint	n. 使熟悉，相识\nv. 使认识
acquaintance	n. 熟悉人，相识
acquaintant	adj. 熟悉的
acquainted	n. 使熟悉，相识
acquiesce	v. 默然同意
acquire	v. 求得，获得，捕获，取得
acquisition	n. 获得
acquit	v. 宣告...无罪
acquittal	n. 履行，清偿
acre	n. 英亩
acrid	adj. 刻薄的，辛辣的
acrobat	n. 杂技演员
acrobatics	n. 杂技，巧妙手法
acronym	n. 首字母缩拼词
across	adv. 横穿\nprep. 横越，穿过...，与...相交叉
act	n. 行为，法令，幕\nv. 表演，扮演，演
action	n. 行为，行动
activate	v. 使活跃，开动，使活化，有生气
active	n. 活跃的人，主动态\nadj. 活跃的，积极的
actively	adv. 积极地，活跃地
activist	n. 激进主义分子，积极分子
activity	n. 活动，行动
